date,WeekStatus,Day_of_week,Load_Type,Usage_kWh,Leading_Current_Power_Factor,Lagging_Current_Power_Factor,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Reactive.Power_kVarh
29/04/2018 07:15,Weekend,Sunday,Light_Load,2.88,100.00,60.20,0.00,3.82
04/10/2018 12:00,Weekday,Thursday,Maximum_Load,60.77,100.00,78.46,0.00,48.02
26/01/2018 11:30,Weekday,Friday,Maximum_Load,120.42,100.00,89.61,0.00,59.65
02/06/2018 14:30,Weekend,Saturday,Light_Load,3.13,18.53,100.00,16.60,0.00
07/12/2018 15:00,Weekday,Friday,Medium_Load,58.86,100.00,94.19,0.00,20.99
26/03/2018 06:00,Weekday,Monday,Light_Load,3.10,100.00,66.41,0.00,3.49
18/12/2018 13:00,Weekday,Tuesday,Medium_Load,9.40,41.65,100.00,20.52,0.00
18/04/2018 00:45,Weekday,Wednesday,Light_Load,3.60,100.00,73.21,0.00,3.35
23/11/2018 23:30,Weekday,Friday,Light_Load,4.61,99.99,90.25,0.07,2.20
08/12/2018 00:00,Weekend,Saturday,Light_Load,3.78,99.96,77.02,0.11,3.13
15/07/2018 04:30,Weekend,Sunday,Light_Load,2.84,100.00,47.51,0.00,5.26
23/05/2018 06:00,Weekday,Wednesday,Light_Load,3.02,100.00,49.79,0.00,5.26
26/07/2018 23:15,Weekday,Thursday,Light_Load,2.84,100.00,46.82,0.00,5.36
08/11/2018 17:15,Weekday,Thursday,Maximum_Load,64.84,100.00,78.38,0.00,51.37
28/10/2018 01:30,Weekend,Sunday,Light_Load,2.81,100.00,47.68,0.00,5.18
05/01/2018 14:30,Weekday,Friday,Medium_Load,87.05,100.00,92.16,0.00,36.65
24/11/2018 04:30,Weekend,Saturday,Light_Load,3.64,100.00,75.10,0.00,3.20
15/10/2018 16:15,Weekday,Monday,Maximum_Load,111.20,100.00,90.43,0.00,52.49
14/08/2018 12:00,Weekday,Tuesday,Maximum_Load,72.86,100.00,78.77,0.00,56.99
25/05/2018 19:45,Weekday,Friday,Medium_Load,37.80,99.99,99.83,0.40,2.20
19/01/2018 01:00,Weekday,Friday,Light_Load,53.93,100.00,85.67,0.00,32.47
18/05/2018 15:45,Weekday,Friday,Maximum_Load,58.93,100.00,88.88,0.00,30.38
26/09/2018 04:45,Weekday,Wednesday,Light_Load,2.59,100.00,43.51,0.00,5.36
19/05/2018 19:45,Weekend,Saturday,Medium_Load,3.71,18.10,100.00,20.16,0.00
13/06/2018 16:45,Weekday,Wednesday,Maximum_Load,3.42,17.29,100.00,19.48,0.00
14/06/2018 03:00,Weekday,Thursday,Light_Load,2.88,100.00,57.11,0.00,4.14
28/12/2018 11:30,Weekday,Friday,Maximum_Load,64.94,100.00,91.01,0.00,29.56
