Humidity,Temperature,Wind Speed,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
29.73,22.76,0.085,32985.1,19396.7,17623.3
54.44,15.92,0.085,34737.6,29803,14417.3
57.23,15.08,0.076,27894.7,20808.5,16458.8
72.3,12.42,0.081,42476.9,23634.1,25089.7
80.6,14.58,0.08,21341.1,12006.1,11531.6
69.14,14.99,0.074,22043.5,13200,14810.6
70.8,11.16,0.08,32509.8,18302.7,15844.3
89.4,19.21,4.923,21390.7,13222.3,10593
65.92,14.66,0.075,37286.7,30716.2,15834.8
81.6,14.2,0.079,24966.3,15169,14913
64.15,23.9,0.264,35012.4,24290.6,12067.2
82.4,13.68,0.074,22031.4,13367.8,14359.5
86.5,21.03,0.068,40993.9,25383.4,24960
69.26,16.38,0.074,31081.4,25539.1,10130.1
47.58,27.06,4.905,37475.2,24276.2,25140.6
60.8,11.86,0.088,34004.7,18893.6,16938.5
80.6,11.83,0.08,31434.9,18815.9,19358.7
84.9,9.38,0.082,20806.1,16193.9,8608.88
67.74,9.39,4.92,25724.7,16599.4,12434.7
65.81,19.2,4.924,40676,24754.7,25095.9
47.91,19.74,0.078,29593.8,24605,10039.5
43.35,27.11,4.906,40256.1,27416.3,25453.5
67.21,16.66,4.919,43334.8,25452.4,25368.4
76.6,12.11,4.916,22710.5,13437.1,14090.3
63.4,23.96,4.922,28532.1,19507.6,17442.7
70.2,26.92,4.909,36511.9,25906.3,25654.9
56.04,16.98,0.086,23753.8,18628.5,10704.6
77.8,25.37,4.918,29393.2,24421.5,20226.3
53.54,16.32,4.921,40137.7,23463.8,24659.3
91.3,24.6,4.918,27061.1,16540.2,12669.6
62.58,15.9,0.084,36605.3,29736.7,16595.4
32.78,27.12,4.905,28723.3,20269.5,20752.9
75.2,21.33,4.911,32156.3,21945.9,22540.4
62.59,17.22,4.921,26361.1,15427,12214.5
47.5,20.53,0.079,29421.5,23920.7,9351.33
47.63,10.95,0.078,21937.6,18815.6,7398.8
74.1,12.73,0.081,32795.2,17517.1,16751.6
85.7,11.88,0.072,39572.4,22972,23945.8
71,18.43,0.081,33359,17989,22000.6
81.5,18.94,0.071,29146.2,21287.9,14936.4
53.55,26.64,4.907,37782,24569,22877.5
87.2,8.7,0.089,23321.9,13591.5,15044.5
26.19,28.72,0.075,31248.8,22662.5,17431.6
86.5,13.87,4.915,22989.6,17626.6,10282.8
73.2,9.89,0.077,38666.4,23409.1,23317.9
73.4,5.593,0.087,23550.4,14341.6,15452.5
63.55,14.1,0.083,41058.3,24583.6,25390.3
91.1,18.47,0.079,44655.8,28508.7,19392.6
65.01,13.66,0.087,34256.2,22030.4,16736.4
83.7,15.81,0.083,22097.6,12926.3,11112.7
67.65,19.6,0.073,38153.8,31805,20483.9
67.54,12.4,0.087,30387.8,21728.1,9334.93
62.78,22.79,0.07,48349.5,32449.4,35757.7
31.89,28.01,4.915,33903,23962,23901.6
73.1,26.6,4.91,36369.2,25496.5,22721
77.9,8.34,4.916,23827.7,19156.6,10502.2
85.7,14.41,0.072,25978.9,16097.4,12904.7
35.7,27.98,4.918,35151.7,23238.4,18002.9
71.4,13.84,0.083,22905.8,11799.4,13679.3
64.15,20.32,0.081,42875.8,25286.1,27323.1
89.6,22.17,0.329,27729.6,16694,14032.3
90.6,10.4,0.071,23467.1,13203.6,14455
51,22.27,0.077,32486.2,23950.4,17459.3
56.34,16.71,0.084,35402,18700.3,14848.6
84.5,21.28,0.283,27697.7,16881.1,12208.4
61.94,7.29,0.088,21648.8,12813.4,14373.9
85.7,14.32,0.069,21024.9,12167.4,11287.3
70.9,20.75,0.082,37893.7,30902.5,18704
85.8,12.96,0.07,33498.3,18725.8,18345.2
75.8,28.8,4.907,38971.1,29822.6,29413.9
69.28,13.98,0.072,36103.7,22570.2,16811.1
84.5,26.18,4.914,38670.6,27484.7,31189.5
31.29,26.1,0.079,31538.4,21302.8,16481.3
62.86,18.66,0.076,32898.5,28178.9,9172.05
51.43,21.64,0.084,32030.8,24887.6,12566.7
65.55,11.18,0.087,34231.9,21552.6,20830.8
78.2,28.09,4.902,42615,29503.3,33554.9
81.1,13.77,0.082,35013.4,21106.1,22465.2
65.26,23.88,4.926,34451.7,19167.6,14685.4
69.8,26.56,4.911,35650.8,26643,26859.9
89.9,14.42,0.069,42824.9,21684.3,28509.1
